Common Control ID,Control Name,Control Objective,Primary Owner,Supported Frameworks,Key Evidence,Implementation Status,Risk Level,Gap Identified,Recommended Remediation
CC-001,User Access Management,Ensure access is authorized appropriate and removed when no longer required,Identity and Access Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Access requests manager approvals user inventory termination records,Partial,High,Recurring access reviews and offboarding evidence are inconsistent,Perform quarterly access reviews and strengthen automated termination access removal
CC-002,Privileged Access Management,Limit elevated access to approved users with documented business need,IT Security,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Privileged account inventory business justification review approvals,Partial,High,Some privileged accounts lack current justification and review evidence,Perform quarterly privileged access reviews and remove unnecessary elevated permissions
CC-003,Multi-Factor Authentication,Require stronger authentication for applicable privileged remote and sensitive access,Identity and Access Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,MFA enrollment reports authentication configuration exception approvals,Partial,High,MFA coverage is incomplete for some privileged accounts,Enforce MFA for all applicable accounts and formally document approved exceptions
CC-004,Security Awareness Training,Ensure personnel receive recurring security awareness education,Security and Human Resources,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Training completion reports awareness materials acknowledgment records,Implemented,Low,No major gap identified,Continue recurring awareness training and retain completion evidence
CC-005,Audit Logging and Monitoring,Ensure security relevant events are logged reviewed investigated and retained,Security Operations,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,SIEM reports log source inventory review records incident tickets,Partial,Medium,Recurring log review evidence is inconsistent,Define recurring log review procedures and retain reviewer investigation and escalation evidence
CC-006,Change Management,Ensure production changes are authorized tested documented and approved,Change Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Change requests testing records approvals implementation logs,Partial,Medium,Some change records lack complete testing evidence,Require testing and approval evidence before implementation
CC-007,Vulnerability Management,Identify prioritize remediate and track vulnerabilities using risk based timelines,Vulnerability Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Vulnerability scan reports aging reports remediation tickets risk acceptance records,Partial,High,High risk vulnerabilities may exceed target timelines,Enforce severity based remediation SLAs and formal exception approval
CC-008,Incident Response,Ensure incidents are identified escalated contained documented and reviewed,Incident Response Team,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Incident response plan tickets investigation records escalation records lessons learned,Implemented,Medium,Documentation quality varies across incidents,Standardize incident documentation and closure review
CC-009,Incident Response Testing,Validate incident response procedures through recurring exercises,Incident Response Team,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Tabletop reports participant lists lessons learned corrective action tracker,Partial,High,Current testing evidence is incomplete,Conduct annual tabletop exercises and track corrective actions through closure
CC-010,Risk Assessment,Identify assess prioritize and manage cybersecurity and compliance risk,GRC,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Risk register risk assessments treatment plans approvals,Implemented,Medium,Some risk records lack complete treatment documentation,Require risk owners treatment decisions target dates and management approval
CC-011,Third-Party Risk Management,Assess and monitor vendor security and compliance risk,GRC and Procurement,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Vendor questionnaires assessments contracts reassessment records remediation tracker,Partial,High,High risk vendors are not always reassessed on schedule,Establish annual reassessment requirements for high risk vendors
CC-012,Encryption and Data Protection,Protect sensitive information during transmission and storage where appropriate,IT Security,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,TLS settings encryption standards key management evidence configuration screenshots,Implemented,Medium,No major gap identified,Maintain approved encryption standards and periodic configuration reviews
CC-013,Backup and Recovery,Ensure critical systems and data can be restored following disruption,IT Operations,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Backup reports restore tests recovery logs failure tickets,Partial,Medium,Restoration testing is inconsistent,Perform quarterly restoration tests and retain recovery evidence
CC-014,Policy Management,Ensure policies are documented approved communicated and periodically reviewed,GRC,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Policies approvals revision history review schedules,Partial,Medium,Some policies exceed scheduled review dates,Implement centralized policy review tracking and automated reminders
CC-015,Asset Management,Maintain an accurate inventory of systems applications devices and information assets,IT Operations,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Asset inventory ownership records classifications lifecycle records,Partial,Medium,Some applications are not consistently inventoried or classified,Perform recurring inventory reconciliation and assign ownership and classification
CC-016,Privacy Governance,Establish accountability and controls for handling personal information,Privacy and GRC,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Privacy policies data inventory lawful basis records DPIAs privacy notices,Partial,High,Privacy specific requirements are not fully integrated into the common control environment,Create dedicated privacy governance procedures and map privacy obligations separately
CC-017,Data Retention and Disposal,Retain information only as required and securely dispose of it when no longer needed,Privacy and Records Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Retention schedule deletion records disposal procedures legal hold records,Partial,Medium,Retention rules vary by data type and are inconsistently documented,Create a centralized retention schedule with owners disposal rules and review dates
CC-018,Access Review,Periodically validate that user and privileged access remains appropriate,Identity and Access Management,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Access certification reports manager approvals removal records,Partial,High,Some review findings lack closure evidence,Require documented remediation evidence before access review closure
CC-019,Remediation Tracking,Track identified weaknesses through corrective action validation and closure,GRC and Internal Audit,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,POA&M audit findings corrective action plans validation evidence closure approvals,Partial,High,Some findings may close without sufficient validation evidence,Require independent validation and formal approval before closure
CC-020,Evidence Management,Maintain organized reliable and retrievable compliance evidence,GRC and Internal Audit,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Evidence repository indexes naming standards approval records audit artifacts,Partial,Medium,Evidence is stored across multiple locations,Centralize evidence storage and establish naming ownership and retention standards
