Crosswalk ID,Common Control,Control Objective,SOC 2,ISO 27001,NIST CSF 2.0,NIST SP 800-53,PCI DSS,HIPAA,GDPR,Common Evidence,Primary Owner,Implementation Status,Gap Status
XW-001,User Access Management,Ensure access is authorized appropriate and removed when no longer required,Related,Related,Protect,AC-2,Related,Related,Related,Access requests approvals account inventory termination records,Identity and Access Management,Partial,Gap Identified
XW-002,Privileged Access,Limit elevated access to approved users with documented justification and review,Related,Related,Protect,AC-6,Related,Related,Related,Privileged account inventory access reviews approvals,IT Security,Partial,Gap Identified
XW-003,Multi-Factor Authentication,Require stronger authentication for privileged remote or sensitive access,Related,Related,Protect,IA-2,Related,Related,Related,MFA enrollment reports configuration screenshots exception records,Identity and Access Management,Partial,Gap Identified
XW-004,Security Awareness Training,Ensure personnel receive recurring security awareness training,Related,Related,Protect,AT-2,Related,Related,Related,Training completion reports awareness materials acknowledgment records,Security and Human Resources,Implemented,No Major Gap
XW-005,Audit Logging,Ensure security-relevant events are logged retained reviewed and investigated,Related,Related,Detect,AU-2;AU-6,Related,Related,Related,SIEM reports log source inventory review records incident tickets,Security Operations,Partial,Gap Identified
XW-006,Change Management,Ensure production changes are authorized tested documented and approved,Related,Related,Protect,CM-3,Related,Related,Related,Change tickets testing records approvals implementation logs,Change Management,Partial,Gap Identified
XW-007,Vulnerability Management,Identify prioritize remediate and track vulnerabilities based on risk,Related,Related,Identify;Protect,RA-5;SI-2,Related,Related,Related,Vulnerability scan reports aging reports remediation tickets risk acceptance,Vulnerability Management,Partial,Gap Identified
XW-008,Incident Response,Ensure security incidents are identified escalated contained documented and reviewed,Related,Related,Respond,IR-4,Related,Related,Related,Incident response plan incident tickets investigation records lessons learned,Incident Response Team,Implemented,No Major Gap
XW-009,Incident Response Testing,Validate incident response procedures through recurring exercises,Related,Related,Respond,IR-3,Related,Related,Related,Tabletop exercise reports participant lists corrective action tracker,Incident Response Team,Partial,Gap Identified
XW-010,Risk Assessment,Identify assess prioritize and track cybersecurity and compliance risk,Related,Related,Govern;Identify,RA-3,Related,Related,Related,Risk register risk assessments treatment plans management approvals,GRC,Implemented,No Major Gap
XW-011,Third-Party Risk,Assess and monitor security risk from vendors suppliers and service providers,Related,Related,Govern,SR-3,Related,Related,Related,Vendor questionnaires assessments contracts reassessment records,GRC and Procurement,Partial,Gap Identified
XW-012,Encryption,Protect sensitive information during transmission and where appropriate at rest,Related,Related,Protect,SC-8;SC-13,Related,Related,Related,TLS configuration encryption standards key management evidence,IT Security,Implemented,No Major Gap
XW-013,Backup and Recovery,Ensure critical systems and data can be restored after disruption,Related,Related,Recover,CP-9;CP-10,Related,Related,Related,Backup reports restoration tests recovery logs,IT Operations,Partial,Gap Identified
XW-014,Policy Management,Ensure security policies are documented approved communicated and periodically reviewed,Related,Related,Govern,PL-1,Related,Related,Related,Policies approval records revision history review schedule,GRC,Partial,Gap Identified
XW-015,Asset Management,Maintain an accurate inventory of systems applications and information assets,Related,Related,Identify,CM-8,Related,Related,Related,Asset inventory ownership records classifications and review records,IT Operations,Partial,Gap Identified
XW-016,Data Protection,Protect sensitive personal regulated and confidential information from unauthorized access or disclosure,Related,Related,Protect,AC;SC;SI Families,Related,Related,Related,Data classification encryption access controls DLP evidence,Security and Privacy,Partial,Gap Identified
XW-017,Privacy Governance,Define ownership policies and processes for handling personal data,Limited,Related,Govern,Related,Limited,Related,Related,Privacy policies data inventory lawful basis records DPIA records,Privacy and GRC,Partial,Framework-Specific Gap
XW-018,Data Retention,Retain information only as long as required and securely dispose of it when no longer needed,Related,Related,Govern;Protect,MP-6;SI-12,Related,Related,Related,Retention schedule deletion records disposal procedures,Privacy and Records Management,Partial,Gap Identified
XW-019,Access Review,Periodically review access and remove unnecessary permissions,Related,Related,Protect,AC-2;AC-6,Related,Related,Related,Quarterly access reviews manager certifications removal evidence,Identity and Access Management,Partial,Gap Identified
XW-020,Remediation Tracking,Track security and compliance findings through corrective action validation and closure,Related,Related,Govern,CA-5,Related,Related,Related,POA&M audit findings remediation tracker validation evidence,GRC and Internal Audit,Partial,Gap Identified
