Gap ID,Common Control ID,Control Area,Current State,Gap Identified,Affected Frameworks,Risk Level,Business Impact,Recommended Remediation,Priority,Status
GAP-001,CC-001,User Access Management,Access provisioning and termination processes exist but recurring review evidence is inconsistent,Inactive or inappropriate user access may remain enabled,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Unauthorized access may persist and create security or compliance exposure,Perform quarterly access reviews and strengthen termination access removal,High,Open
GAP-002,CC-002,Privileged Access Management,Privileged roles exist but business justification and review evidence are incomplete,Some users may retain excessive elevated access,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Compromised privileged accounts may enable broad unauthorized activity,Perform quarterly privileged access reviews and document business justification,High,Open
GAP-003,CC-003,Multi-Factor Authentication,MFA is deployed but coverage is incomplete for some privileged accounts,Not all applicable privileged access is protected by MFA,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Compromised credentials may result in unauthorized privileged access,Enforce MFA for all applicable accounts and document approved exceptions,High,Open
GAP-004,CC-005,Audit Logging and Monitoring,Logs are centrally collected but recurring review documentation is inconsistent,Monitoring activity cannot always be demonstrated,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Suspicious activity may go undetected or lack investigation evidence,Establish recurring log review procedures and retain review records,Medium,Open
GAP-005,CC-006,Change Management,Most changes are documented but some testing evidence is incomplete,Control operation cannot always be validated,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Unauthorized or untested changes may introduce outages or security weaknesses,Require test and approval evidence before implementation,Medium,Open
GAP-006,CC-007,Vulnerability Management,Scanning and ticketing processes exist but some high-risk findings exceed remediation timelines,High-risk vulnerabilities remain open too long,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Known vulnerabilities may remain exploitable,Enforce severity-based remediation SLAs and formal risk acceptance for exceptions,High,Open
GAP-007,CC-008,Incident Response,Incident response procedures exist but documentation quality varies,Some incident records lack complete evidence,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Incomplete records may reduce auditability and lessons learned,Implement a standardized incident documentation checklist,Medium,Open
GAP-008,CC-009,Incident Response Testing,Incident response exercises are not performed consistently,Response capability is not regularly validated,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Response procedures may fail during a real incident,Conduct annual tabletop exercises and track corrective actions,High,Open
GAP-009,CC-010,Risk Assessment,Risk assessments are performed but some treatment records are incomplete,Some risks lack complete owner treatment or approval documentation,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Material risks may remain unmanaged or lack accountability,Require complete treatment decisions target dates and management approval,Medium,Open
GAP-010,CC-011,Third-Party Risk Management,Vendor assessments occur but high-risk suppliers are not always reassessed on schedule,Third-party risk may become outdated,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Changes in vendor security posture may remain unidentified,Establish annual reassessment requirements for high-risk vendors,High,Open
GAP-011,CC-013,Backup and Recovery,Backups are performed but restoration testing is inconsistent,Recoverability is not consistently validated,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Systems or data may not be recoverable after disruption,Perform quarterly restoration testing and retain recovery evidence,Medium,Open
GAP-012,CC-014,Policy Management,Policies exist but some exceed scheduled review dates,Policy governance is inconsistent,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Outdated policies may not reflect current risks or requirements,Implement centralized policy review tracking and automated reminders,Medium,Open
GAP-013,CC-015,Asset Management,Asset records exist but some applications are not consistently inventoried or classified,Asset visibility is incomplete,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Untracked systems may fall outside security monitoring and compliance scope,Perform recurring inventory reconciliation and assign ownership and classification,Medium,Open
GAP-014,CC-016,Privacy Governance,General security controls exist but privacy-specific obligations are not fully integrated,Privacy requirements may not be fully addressed,ISO 27001;HIPAA;GDPR;NIST CSF 2.0,High,Personal data may be handled without complete governance or documented accountability,Create dedicated privacy governance procedures including data inventory lawful basis retention and rights processes,High,Open
GAP-015,CC-017,Data Retention and Disposal,Retention rules exist but vary by system and data type,Retention and disposal requirements are inconsistently documented,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Data may be retained too long or disposed of inconsistently,Create a centralized retention schedule with owners disposal rules and review dates,Medium,Open
GAP-016,CC-018,Access Review,Periodic access reviews occur but some findings lack closure evidence,Unnecessary permissions may remain after review,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Excessive access may remain active despite completed review cycles,Require documented remediation evidence before access-review closure,High,Open
GAP-017,CC-019,Remediation Tracking,Findings are tracked but validation evidence is not always required before closure,Issues may be closed before corrective action is proven effective,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,High,Control weaknesses may remain unresolved while appearing closed,Require independent validation and formal approval before closure,High,Open
GAP-018,CC-020,Evidence Management,Compliance evidence is stored across multiple locations,Evidence retrieval is inefficient and inconsistent,SOC 2;ISO 27001;NIST CSF 2.0;NIST SP 800-53;PCI DSS;HIPAA;GDPR,Medium,Audit readiness may be reduced and evidence may be missed,Centralize evidence storage and define naming ownership and retention standards,Medium,Open
